Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	Node01 - P(0,0)	Node01 - P(0,1)	Node01 - P(1,0)	Node01 - P(1,1)	
88000	-211.182898	51	0.654933	0.162982	2.714968	0.776403	2.932796	3.029404	2.040182	0.020095	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
89000	-212.521285	21	0.573420	0.177978	1.466256	0.338328	4.337852	4.855565	1.972919	0.607569	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
90000	-221.376452	67	0.607216	0.147048	4.019032	0.871708	2.605552	60.270490	2.231125	12.580287	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
91000	-212.520742	99	0.559631	0.168896	2.954803	0.910853	0.218866	7.115332	2.283921	1.534477	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
92000	-215.574782	65	0.355903	0.067953	2.630173	0.903461	7.682112	0.666615	0.462311	0.516555	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
93000	-208.980222	46	0.612467	0.240295	3.154162	0.168611	2.182189	2.644265	1.983516	0.163961	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
94000	-211.950157	62	0.867322	0.086755	3.673930	0.204912	0.942354	4.817212	0.763385	0.004157	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
95000	-207.300263	88	0.517664	0.181481	1.998834	0.077068	4.845566	2.750934	1.514907	0.019542	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
96000	-210.541196	46	0.675311	0.212531	3.177128	0.602327	5.227822	2.977845	1.068588	0.496636	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
97000	-214.502242	25	1.010806	0.182264	2.697931	0.466374	1.427851	1.295950	0.549355	0.753774	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
98000	-213.364741	68	0.579226	0.329978	1.745879	0.358380	4.995197	1.406524	0.418015	0.080381	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
99000	-209.742471	46	0.813781	0.103852	2.798460	0.379223	4.732748	3.012513	1.042339	0.012359	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
100000	-207.486691	3	0.494328	0.140448	2.421473	0.235774	4.080377	1.924309	1.105271	0.113537	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
101000	-207.717791	92	0.620279	0.144718	2.187976	0.541499	2.056254	2.736536	1.166938	0.070027	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
102000	-211.679856	9	0.728834	0.248905	3.422094	0.576225	1.085867	4.705141	0.573848	0.709766	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
103000	-210.788739	64	0.363587	0.302693	1.263698	0.159332	4.444905	2.609749	1.380425	0.072940	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
104000	-212.030811	99	0.728474	0.134008	3.735014	0.498439	0.710829	7.643207	2.451802	0.579696	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
105000	-209.447873	3	0.576091	0.219128	2.831545	0.851494	2.160166	4.329633	1.693520	0.436570	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
106000	-209.609089	67	0.985403	0.125685	3.879175	0.617003	3.093600	0.885638	1.018170	0.445286	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
107000	-212.620959	98	0.329509	0.197200	3.294390	0.822274	2.602508	0.358350	1.190051	0.809777	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
108000	-214.907073	75	0.655662	0.224245	2.313758	0.522139	0.526017	6.527704	0.692377	0.519389	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
109000	-214.482766	67	0.775251	0.469894	5.910038	0.222021	3.607562	0.434555	1.723235	0.332576	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
110000	-211.386643	98	0.615819	0.225150	2.879822	0.148637	0.128246	8.612625	2.157339	0.255566	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
111000	-215.562064	3	0.834056	0.192828	2.978120	1.522630	0.775460	8.365012	1.952364	0.105753	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
112000	-213.238698	3	0.294571	0.171463	3.596248	0.455661	2.195542	8.502373	1.868962	0.369622	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
113000	-211.904637	81	0.839323	0.256649	3.191415	0.219170	6.674256	2.051171	0.806748	0.368324	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
114000	-210.220947	92	0.463078	0.204165	2.651928	0.073011	7.219678	3.061925	0.825625	0.135475	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
115000	-211.293571	3	0.341607	0.209209	1.227954	0.400632	2.507076	6.312082	2.284589	0.266066	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
116000	-213.587862	99	0.851284	0.305893	4.349574	0.664339	13.438864	0.912291	1.283809	0.327931	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
117000	-212.216944	67	0.754982	0.072298	2.656905	0.715788	4.007850	3.726447	2.882877	0.387102	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
118000	-210.778423	67	0.528441	0.242752	3.818420	0.456071	1.088536	1.573197	2.151776	0.741029	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
