Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
123000,-213.827456,25,2,1,'0 0 1 0 1 1 0 Z ,D,0.304623,0.304623,2.040557,0.304623,2.040557,2.040557,0.304623,0,1,0,0,0,1,0,0,0
124000,-218.812829,58,2,1,'0 0 1 0 1 0 0 Z ,D,0.500019,0.500019,2.303325,0.500019,2.303325,0.500019,0.500019,0,1,0,0,0,1,0,0,0
125000,-218.204227,77,2,1,'0 0 1 0 1 0 0 Z ,D,0.299227,0.299227,2.274245,0.299227,2.274245,0.299227,0.299227,0,1,0,0,0,1,0,0,0
126000,-218.446801,8,3,1,'1 1 2 1 0 Z 1 1 ,D,0.549786,0.549786,1.44761,0.549786,13.722344,0,0.549786,0.549786,1,0,0,0,1,0,0,0
127000,-215.606309,80,2,0,'0 0 1 0 1 0 0 0 ,D,0.466693,0.466693,5.468522,0.466693,5.468522,0.466693,0.466693,0.466693,1,0,0,0,1,0,0,0
128000,-214.921192,49,2,1,'1 1 0 1 1 Z 1 1 ,D,0.372613,0.372613,3.697604,0.372613,0.372613,0,0.372613,0.372613,1,0,0,0,1,0,0,0
129000,-215.069878,62,2,1,'1 1 0 1 Z 1 1 1 ,D,0.214849,0.214849,3.841486,0.214849,0,0.214849,0.214849,0.214849,1,0,0,0,1,0,0,0
130000,-214.325469,49,2,1,'1 1 0 1 1 Z 1 1 ,D,0.197479,0.197479,4.29717,0.197479,0.197479,0,0.197479,0.197479,1,0,0,0,1,0,0,0
131000,-218.248441,22,2,1,'0 0 1 0 1 Z 0 0 ,D,0.270807,0.270807,4.983727,0.270807,4.983727,0,0.270807,0.270807,1,0,0,0,1,0,0,0
132000,-213.505721,67,2,0,'0 0 1 0 1 0 0 0 ,D,0.203493,0.203493,4.759708,0.203493,4.759708,0.203493,0.203493,0.203493,1,0,0,0,1,0,0,0
133000,-213.890809,67,2,0,'0 0 1 0 0 0 0 0 ,D,0.353864,0.353864,2.726244,0.353864,0.353864,0.353864,0.353864,0.353864,1,0,0,0,1,0,0,0
134000,-207.235525,67,3,0,'0 2 1 0 2 2 0 2 ,D,0.672482,0.147345,3.002321,0.672482,0.147345,0.147345,0.672482,0.147345,1,0,0,0,1,0,0,0
135000,-210.154564,74,3,1,'2 0 1 0 1 1 2 Z ,D,0.472605,0.225832,2.092052,0.225832,2.092052,2.092052,0.472605,0,1,0,0,0,1,0,0,0
136000,-215.013896,57,2,2,'1 1 0 1 Z 0 1 Z ,D,0.297755,0.297755,4.576414,0.297755,0,4.576414,0.297755,0,1,0,0,0,1,0,0,0
137000,-211.787044,46,3,1,'2 1 0 1 2 0 2 Z ,D,0.768894,0.290678,5.378578,0.290678,0.768894,5.378578,0.768894,0,1,0,0,0,1,0,0,0
138000,-215.845108,77,2,1,'0 0 1 0 1 Z 0 0 ,D,0.563605,0.563605,4.870609,0.563605,4.870609,0,0.563605,0.563605,1,0,0,0,1,0,0,0
139000,-211.652303,99,3,1,'2 2 1 0 1 Z 0 2 ,D,0.276984,0.276984,4.978602,0.709182,4.978602,0,0.709182,0.276984,1,0,0,0,1,0,0,0
140000,-212.296574,92,2,1,'0 0 1 0 1 Z 0 0 ,D,0.342488,0.342488,4.568274,0.342488,4.568274,0,0.342488,0.342488,1,0,0,0,1,0,0,0
141000,-215.694181,21,2,1,'1 1 0 1 0 Z 1 1 ,D,0.384439,0.384439,2.595768,0.384439,2.595768,0,0.384439,0.384439,1,0,0,0,1,0,0,0
142000,-210.916173,67,2,0,'0 0 1 0 1 0 0 0 ,D,0.366181,0.366181,4.532212,0.366181,4.532212,0.366181,0.366181,0.366181,1,0,0,0,1,0,0,0
143000,-212.952825,57,3,1,'0 0 2 0 1 Z 0 0 ,D,0.380397,0.380397,4.361398,0.380397,8.411344,0,0.380397,0.380397,1,0,0,0,1,0,0,0
144000,-214.817894,67,2,1,'0 0 1 0 Z 0 0 0 ,D,0.402314,0.402314,2.992613,0.402314,0,0.402314,0.402314,0.402314,1,0,0,0,1,0,0,0
145000,-218.336573,40,2,1,'0 0 1 0 1 0 0 Z ,D,0.588649,0.588649,3.427262,0.588649,3.427262,0.588649,0.588649,0,1,0,0,0,1,0,0,0
